NAME	cluster dominant cell type	X	Y
TYPE	group	numeric	numeric
566	CD8+ PD1+ T cell	-1.3849951677786763	3.6823131299187617
567	CD4+ T cell	1.4671182655389552	-2.451054625742818
568	CD8+ PD1+ T cell	0.03398075600608319	3.0109997591374444
569	CD8+ PD1+ T cell	0.07627641450833322	2.2748034378727167
570	CD8+ PD1+ T cell	-2.1421608764836004	4.648438942850797
571	CD8+ GNLY+ T cell	-2.7370635595667823	0.49103062817063453
572	CD4+ T cell	0.4213756442496839	-3.1663575128018646
574	CD8+ PD1+ T cell	-0.7865326762387217	4.545549279074854
576	CD8+ GNLY+ T cell	-5.580317201204112	-0.26700733736742216
578	CD8+ PD1+ T cell	0.3743783304008004	3.388463320415609
626	CD4+ T cell	3.1924197729509762	-0.24238287620658178
627	CD8+ GNLY+ T cell	-5.857511016737255	0.5061561500201608
628	CD4+ T cell	3.4812896882510787	-1.383345266958102
629	CD4+ T cell	3.3719310796296655	-2.0874914636976922
630	CD4+ T cell	5.201069406794069	-3.613954523649531
631	CD8+ GNLY+ T cell	-5.468773634553921	1.1789418493033392
633	CD4+ T cell	3.003406090501687	-0.3684001827845332
635	CD8+ PD1+ T cell	-0.8080953034445226	4.825375332962902
636	CD4+ T cell	4.339772414445757	-4.519776703311957
637	CD8+ CXCR4+ T cell	-1.2122629933739852	0.4156174249134822
640	CD4+ T cell	2.952365340511303	-0.4446584974699577
643	CD8+ PD1+ T cell	1.4652824370509572	3.4412673821096935
645	CD4+ T cell	3.5730150659747384	-0.24259401232856453
646	CD8+ PD1+ T cell	-0.4362370168269054	2.965422678287449
647	CD4+ T cell	3.2056631774814104	-0.711890905787387
648	CD4+ T cell	3.0889999586440045	2.1736096321065337
652	CD4+ T cell	1.4702012798858075	0.1441462464732495
653	CD8+ PD1+ T cell	-1.0928182714220083	4.513493972764437
654	CD8+ GNLY+ T cell	-4.368407901101883	0.4165426035826652
655	CD8+ PD1+ T cell	-0.7198273434415248	4.106492611920504
656	CD4+ T cell	3.420391618086465	-2.5086734514899844
657	CD4+ Treg cell	4.569164912255003	2.5869876740568136
659	CD4+ Treg cell	4.196460777112082	2.75322513724242
660	CD8+ GNLY+ T cell	-5.010461264593782	0.42725673131544717
662	CD8+ GNLY+ T cell	-5.230753843994399	0.0022320434776063602
663	CD4+ Treg cell	5.946539048923979	-1.6384450064656555
664	CD8+ PD1+ T cell	-0.597419348719125	4.251154128243225
666	CD4+ T cell	3.263495958446252	-2.745828756427189
668	CD4+ Treg cell	5.351020391509276	1.8028186516090534
669	CD4+ Treg cell	5.531285703121604	1.4321307648751878
672	CD4+ Treg cell	4.305335612597535	2.7293452880371363
756	CD4+ Treg cell	4.063587656742518	2.82628872311851
757	CD8+ PD1+ T cell	0.03015326071201052	3.1945176944972773
758	CD8+ PD1+ T cell	-1.5593110258417386	3.220675661250566
759	CD8+ PD1+ T cell	-2.020065307683125	3.806805550937786
760	CD8+ PD1+ T cell	0.1267061025993541	2.843566293230759
761	CD8+ CXCR4+ T cell	-3.331074271917887	1.4313355771056193
762	CD8+ GNLY+ T cell	-4.670242939135265	0.3660235346655636
763	CD4+ T cell	3.340847011672179	-0.7271543351682521
765	CD4+ T cell	4.384468054271905	-4.41045221791606
766	CD4+ Treg cell	4.776608475919099	2.4512987894818092
767	CD8+ PD1+ T cell	0.45244116939848156	3.6995358153602305
769	CD4+ T cell	4.605608285663331	-0.038521364780760126
770	CD4+ T cell	0.9731882692020133	-3.7647587205224387
771	CD8+ PD1+ T cell	0.1741874415506801	3.2611744844554145
772	CD8+ PD1+ T cell	-1.2836834369059145	2.934774804449667
773	CD8+ GNLY+ T cell	-4.580218803976091	0.0738440226285988
775	CD8+ PD1+ T cell	-0.9093348164168247	3.3233503844858467
777	CD4+ Treg cell	4.506858536280173	2.4782302324524523
778	CD8+ GNLY+ T cell	-4.4728819057966716	0.4069087179445674
779	CD8+ PD1+ T cell	0.37621853690830354	3.7326624230495447
780	CD4+ T cell	3.849278443505514	0.21731098413558758
782	CD8+ PD1+ T cell	0.6273010966326484	3.6886076602833993
783	CD8+ PD1+ T cell	-0.6545367831847912	2.7027151322031537
784	CD4+ T cell	3.7164550201524875	-0.24109377754900313
785	CD4+ T cell	1.3430494242236286	-3.763738108675736
786	CD8+ PD1+ T cell	-1.6910604286980249	3.4705806920869073
788	CD8+ PD1+ T cell	-2.3003845365833633	4.023700451102235
789	CD8+ PD1+ T cell	0.4131759044379477	3.5361624704560572
790	CD4+ T cell	0.3808914933483527	-3.9579650154843566
794	CD4+ T cell	4.055746563876834	0.4691194644123997
795	CD4+ T cell	3.0743645955902403	-0.09843858255335869
797	CD8+ CXCR4+ T cell	-0.36871971152715255	-1.4840698013774256
799	CD8+ PD1+ T cell	-2.269510746297968	4.406453040374038
800	CD4+ Treg cell	5.367880353014507	1.7916657561868559
802	CD8+ PD1+ T cell	0.08460155094718025	2.613922075847635
804	CD8+ PD1+ T cell	-0.4770146434301943	4.895805086096978
806	CD8+ PD1+ T cell	-0.9639784891468719	2.3808727758617962
807	CD8+ CXCR4+ T cell	-0.08038112483729831	0.9984898961377264
808	CD8+ PD1+ T cell	0.38512148778261746	3.6418619245784143
809	CD4+ T cell	1.3519519760367886	0.09893744909968619
810	CD8+ PD1+ T cell	-0.24260644737522696	3.473616562097598
813	CD4+ Treg cell	5.815292263748502	-1.6079535171169665
815	CD8+ CXCR4+ T cell	-1.6584515571247702	2.038507159650946
816	CD8+ PD1+ T cell	-1.9776253560762629	4.643059050412725
818	CD4+ T cell	1.8294269681258382	-2.9115132827038677
819	CD4+ T cell	3.826587644311024	-0.33704674746312396
821	CD4+ Treg cell	5.738636896627747	-1.675241526456246
822	CD4+ Treg cell	5.891422729199112	-1.313244992247587
823	CD8+ PD1+ T cell	0.22977556467837235	3.2911393641983495
824	CD8+ CXCR4+ T cell	-3.6791216710410426	3.813409228850986
825	CD8+ PD1+ T cell	-0.15430476632924006	2.638918330720393
826	CD8+ GNLY+ T cell	-4.039754722322662	-0.06983050954567899
827	CD4+ T cell	5.213011882822978	1.9221998038110315
829	CD8+ PD1+ T cell	-1.2890491127674741	2.8919470025868774
830	CD8+ PD1+ T cell	-1.8929442464204167	2.6726248101746823
831	CD8+ PD1+ T cell	0.00157262295164462	3.1181734942325656
832	CD8+ CXCR4+ T cell	-0.0618072000819454	1.4675029084800653
833	CD8+ PD1+ T cell	-1.3049692403527107	2.9135208630393072
834	CD4+ T cell	4.010811249202264	0.19170816932133677
835	CD8+ PD1+ T cell	-2.227422592759619	3.3764922214747677
836	CD8+ PD1+ T cell	-0.3651154743702114	4.236689511612856
837	CD4+ Treg cell	3.9320599634281503	2.840741012444816
838	CD8+ PD1+ T cell	-1.2595012528005938	4.1479555121484815
840	CD8+ PD1+ T cell	-1.149754190420555	3.635923911659141
841	CD4+ T cell	3.7575000739121185	-1.0734738410774827
842	CD8+ PD1+ T cell	-1.5896658202323217	3.3856712196176435
844	CD4+ Treg cell	4.488181571767839	1.457495406892054
845	CD8+ PD1+ T cell	0.258718541077432	3.6678221266050675
846	CD8+ PD1+ T cell	-0.21306116757934324	3.584583091760114
847	CD4+ T cell	4.026756471097395	0.3268776780126125
